,model,year,transmission,mileage,fuelType,engineSize,Automatic,Manual,OtherTransmission,Semi-Auto,Diesel,Hybrid,OtherFuel,Petrol,price
0, C Class,2020,Automatic,1200,Diesel,2.0,1,0,0,0,1,0,0,0,30495
1, C Class,2020,Automatic,1000,Petrol,1.5,1,0,0,0,0,0,0,1,29989
2, C Class,2020,Automatic,500,Diesel,2.0,1,0,0,0,1,0,0,0,37899
3, C Class,2019,Automatic,5000,Diesel,2.0,1,0,0,0,1,0,0,0,30399
4, C Class,2019,Automatic,4500,Diesel,2.0,1,0,0,0,1,0,0,0,29899
5, C Class,2020,Automatic,1000,Diesel,2.0,1,0,0,0,1,0,0,0,30999
6, C Class,2020,Automatic,500,Diesel,2.0,1,0,0,0,1,0,0,0,35999
7, C Class,2019,Automatic,1412,Petrol,3.0,1,0,0,0,0,0,0,1,37990
8, C Class,2019,Automatic,3569,Diesel,2.0,1,0,0,0,1,0,0,0,28990
9, C Class,2019,Automatic,3635,Diesel,2.0,1,0,0,0,1,0,0,0,28990
10, C Class,2013,Automatic,44900,Petrol,1.6,1,0,0,0,0,0,0,1,9995
11, C Class,2012,Automatic,88200,Diesel,2.1,1,0,0,0,1,0,0,0,6995
12, C Class,2012,Automatic,115000,Diesel,2.1,1,0,0,0,1,0,0,0,7495
13, C Class,2011,Automatic,69250,Diesel,2.1,1,0,0,0,1,0,0,0,8995
14, C Class,2015,Automatic,49850,Diesel,2.1,1,0,0,0,1,0,0,0,14995
15, C Class,2013,Automatic,82685,Diesel,2.1,1,0,0,0,1,0,0,0,8595
16, C Class,2016,Semi-Auto,32506,Diesel,2.1,0,0,0,1,1,0,0,0,19250
17, C Class,2017,Semi-Auto,17000,Diesel,2.1,0,0,0,1,1,0,0,0,23500
18, C Class,2018,Semi-Auto,17744,Diesel,2.0,0,0,0,1,1,0,0,0,24995
19, C Class,2016,Semi-Auto,64291,Petrol,4.0,0,0,0,1,0,0,0,1,29995
20, C Class,2014,Automatic,41011,Petrol,2.0,1,0,0,0,0,0,0,1,17990
21, C Class,2016,Automatic,72000,Diesel,1.6,1,0,0,0,1,0,0,0,14477
22, C Class,2013,Automatic,72000,Diesel,2.1,1,0,0,0,1,0,0,0,10977
23, C Class,2016,Automatic,40000,Diesel,1.6,1,0,0,0,1,0,0,0,17977
24, C Class,2015,Automatic,52000,Diesel,2.1,1,0,0,0,1,0,0,0,12790
25, C Class,2017,Automatic,66472,Diesel,2.1,1,0,0,0,1,0,0,0,14488
26, C Class,2011,Manual,91000,Diesel,2.1,0,1,0,0,1,0,0,0,7500
27, C Class,2013,Automatic,69700,Diesel,2.1,1,0,0,0,1,0,0,0,9750
28, C Class,2015,Automatic,39000,Diesel,1.6,1,0,0,0,1,0,0,0,15995
29, C Class,2016,Manual,39287,Diesel,2.1,0,1,0,0,1,0,0,0,15675
30, C Class,2016,Manual,40569,Diesel,2.1,0,1,0,0,1,0,0,0,16475
31, C Class,2016,Manual,37419,Petrol,2.0,0,1,0,0,0,0,0,1,15975
32, C Class,2016,Automatic,34452,Diesel,2.1,1,0,0,0,1,0,0,0,16475
33, C Class,2015,Automatic,41567,Hybrid,2.1,1,0,0,0,0,1,0,0,15975
34, C Class,2015,Automatic,41130,Hybrid,2.0,1,0,0,0,0,1,0,0,16495
35, C Class,2017,Automatic,37778,Diesel,2.1,1,0,0,0,1,0,0,0,17795
36, C Class,2017,Automatic,44325,Diesel,2.1,1,0,0,0,1,0,0,0,17875
37, C Class,2016,Automatic,45000,Diesel,2.1,1,0,0,0,1,0,0,0,14000
38, C Class,2017,Automatic,75000,Diesel,1.6,1,0,0,0,1,0,0,0,16500
39, C Class,2016,Automatic,36000,Diesel,2.1,1,0,0,0,1,0,0,0,21000
