Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
41,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993,8,Y,Yes,11,3,1,0,8,0,1,6,4,0,5,Yes
49,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5130,1,Y,No,23,4,4,1,10,3,3,10,7,1,7,No
37,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090,6,Y,Yes,15,3,2,0,7,3,3,0,0,0,0,Yes
33,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909,1,Y,Yes,11,3,3,0,8,3,3,8,7,3,0,No
27,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468,9,Y,No,12,3,4,1,6,3,3,2,2,2,2,No
32,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,0,Y,No,13,3,3,0,8,2,2,7,7,3,6,No
59,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670,4,Y,Yes,20,4,1,3,12,3,2,1,0,0,0,No
30,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,1,Y,No,22,4,2,1,1,2,3,1,0,0,0,No
38,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526,0,Y,No,21,4,2,0,10,2,3,9,7,1,8,No
36,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,6,Y,No,13,3,2,2,17,3,2,7,7,7,7,No
35,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426,0,Y,No,13,3,3,1,6,5,3,5,4,0,3,No
29,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193,0,Y,Yes,12,3,4,0,10,3,3,9,5,0,8,No
31,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911,1,Y,No,17,3,4,1,5,1,2,5,2,4,3,No
34,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,0,Y,No,11,3,3,1,3,2,3,2,2,1,2,No
28,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028,5,Y,Yes,14,3,2,0,6,4,3,4,2,0,3,Yes
29,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,1,Y,No,11,3,3,1,10,1,3,10,9,8,8,No
32,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298,0,Y,Yes,12,3,4,2,7,5,2,6,2,0,5,No
22,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,1,Y,Yes,13,3,2,2,1,2,2,1,0,0,0,No
53,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427,2,Y,No,16,3,3,0,31,3,3,25,8,3,7,No
38,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944,5,Y,Yes,11,3,3,0,6,3,3,3,2,1,2,No
24,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,0,Y,No,18,3,4,1,5,5,2,4,2,1,3,No
36,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407,7,Y,No,23,4,2,0,10,4,3,5,3,0,3,Yes
34,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994,0,Y,No,11,3,3,0,13,4,3,12,6,2,11,No
21,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232,1,Y,No,14,3,4,0,0,6,3,0,0,0,0,No
34,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960,2,Y,No,11,3,3,0,8,2,3,4,2,1,3,Yes
53,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094,4,Y,No,11,3,4,1,26,3,2,14,13,4,8,No
32,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919,1,Y,Yes,22,4,2,0,10,5,3,10,2,6,7,Yes
42,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825,0,Y,No,11,3,4,1,10,2,3,9,7,4,2,No
44,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248,3,Y,No,14,3,4,1,24,4,3,22,6,5,17,No
46,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947,3,Y,No,12,3,4,0,22,2,2,2,2,2,1,No
33,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,2496,4,Y,No,11,3,4,0,7,3,3,1,1,0,0,No
44,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465,2,Y,Yes,13,3,4,0,9,5,4,4,2,1,3,No
30,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206,1,Y,No,13,3,1,0,10,5,3,10,0,1,8,No
39,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086,3,Y,No,14,3,3,1,19,6,4,1,0,0,0,Yes
24,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293,2,Y,Yes,16,3,1,1,6,2,2,2,0,2,0,Yes
43,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645,1,Y,No,12,3,4,2,6,3,2,5,3,1,4,No
50,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683,1,Y,Yes,14,3,3,0,3,2,3,3,2,0,2,Yes
35,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014,1,Y,No,13,3,1,0,2,3,3,2,2,2,2,No
36,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419,9,Y,Yes,14,3,4,1,6,3,4,1,1,0,0,No
33,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376,2,Y,No,19,3,1,2,10,3,3,5,3,1,3,No
35,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,1,Y,No,12,3,3,1,1,3,3,1,0,0,0,No
27,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,1,Y,No,13,3,4,1,1,6,3,1,0,0,0,No
26,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293,1,Y,No,12,3,3,0,1,2,2,1,0,0,1,Yes
27,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726,1,Y,No,15,3,4,0,9,0,3,9,8,1,7,No
30,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011,1,Y,No,23,4,4,0,12,2,3,12,8,3,7,No
41,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545,1,Y,No,12,3,4,0,23,0,3,22,15,15,8,Yes
34,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568,0,Y,No,20,4,3,0,10,2,3,9,5,8,7,No
37,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022,4,Y,No,21,4,1,0,8,1,3,1,0,0,0,No
46,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772,4,Y,Yes,21,4,3,0,14,4,3,9,6,0,8,No
35,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269,1,Y,No,19,3,4,0,1,2,3,1,0,0,1,No
48,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,5381,9,Y,Yes,13,3,4,0,23,2,3,1,0,0,0,Yes
28,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,3441,1,Y,Yes,13,3,3,0,2,3,2,2,2,2,2,Yes
44,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454,5,Y,Yes,21,4,3,1,9,2,2,4,3,1,3,No
35,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884,2,Y,Yes,13,3,3,1,10,3,3,4,0,2,3,No
26,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,4157,7,Y,Yes,19,3,3,1,5,2,2,2,2,0,0,No
33,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458,1,Y,Yes,12,3,3,0,15,1,3,15,14,8,12,No
35,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,9069,1,Y,No,22,4,4,1,9,3,2,9,8,1,8,No
35,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,4014,3,Y,Yes,15,3,3,1,4,3,3,2,2,2,2,No
31,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,3,Y,No,22,4,4,1,10,3,2,7,7,1,7,No
37,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,1,Y,No,18,3,3,1,7,2,4,7,5,0,7,No
32,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162,1,Y,Yes,22,4,2,1,9,3,3,9,8,7,8,No
38,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,2406,1,Y,No,11,3,4,0,10,2,3,10,3,9,9,No
50,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740,5,Y,Yes,12,3,4,1,29,2,2,27,3,13,8,No
59,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7637,7,Y,No,11,3,4,0,28,3,2,21,16,7,9,No
36,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,1,Y,No,13,3,2,3,17,2,3,17,14,12,8,No
55,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756,2,Y,Yes,14,3,3,3,21,2,3,5,0,0,2,No
36,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,6499,1,Y,No,13,3,3,0,6,3,3,6,5,0,3,No
45,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,9724,2,Y,No,17,3,3,1,25,2,3,1,0,0,0,No
35,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,2194,4,Y,No,13,3,4,1,5,2,2,3,2,1,2,No
36,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388,0,Y,Yes,17,3,1,1,2,0,2,1,0,0,0,Yes
59,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,5473,7,Y,No,11,3,4,0,20,2,2,4,3,1,3,No
